Date,Sales
2022-01-01,224
2022-01-02,193
2022-01-03,232
2022-01-04,276
2022-01-05,188
2022-01-06,188
2022-01-07,278
2022-01-08,238
2022-01-09,176
2022-01-10,227
2022-01-11,176
2022-01-12,176
2022-01-13,212
2022-01-14,104
2022-01-15,113
2022-01-16,171
2022-01-17,149
2022-01-18,215
2022-01-19,154
2022-01-20,129
2022-01-21,273
2022-01-22,188
2022-01-23,203
2022-01-24,128
2022-01-25,172
2022-01-26,205
2022-01-27,142
2022-01-28,218
2022-01-29,169
2022-01-30,185
2022-01-31,169
2022-02-01,292
2022-02-02,199
2022-02-03,147
2022-02-04,241
2022-02-05,138
2022-02-06,210
2022-02-07,102
2022-02-08,133
2022-02-09,209
2022-02-10,236
2022-02-11,208
2022-02-12,194
2022-02-13,184
2022-02-14,126
2022-02-15,164
2022-02-16,176
2022-02-17,252
2022-02-18,217
2022-02-19,111
2022-02-20,216
2022-02-21,180
2022-02-22,166
2022-02-23,230
2022-02-24,251
2022-02-25,246
2022-02-26,158
2022-02-27,184
2022-02-28,216
2022-03-01,248
2022-03-02,176
2022-03-03,190
2022-03-04,144
2022-03-05,140
2022-03-06,240
2022-03-07,267
2022-03-08,196
2022-03-09,250
2022-03-10,218
2022-03-11,167
2022-03-12,218
2022-03-13,276
2022-03-14,198
2022-03-15,278
2022-03-16,69
2022-03-17,241
2022-03-18,204
2022-03-19,185
2022-03-20,204
2022-03-21,100
2022-03-22,189
2022-03-23,217
2022-03-24,273
2022-03-25,174
2022-03-26,159
2022-03-27,174
2022-03-28,245
2022-03-29,216
2022-03-30,173
2022-03-31,225
2022-04-01,204
2022-04-02,248
2022-04-03,164
2022-04-04,183
2022-04-05,180
2022-04-06,126
2022-04-07,214
2022-04-08,213
2022-04-09,200
2022-04-10,188
2022-04-11,129
2022-04-12,178
2022-04-13,182
2022-04-14,159
2022-04-15,191
2022-04-16,220
2022-04-17,294
2022-04-18,208
2022-04-19,212
2022-04-20,196
2022-04-21,104
2022-04-22,198
2022-04-23,203
2022-04-24,323
2022-04-25,190
2022-04-26,215
2022-04-27,198
2022-04-28,141
2022-04-29,257
2022-04-30,237
2022-05-01,239
2022-05-02,154
2022-05-03,270
2022-05-04,129
2022-05-05,229
2022-05-06,309
2022-05-07,150
2022-05-08,171
2022-05-09,204
2022-05-10,174
2022-05-11,122
2022-05-12,203
2022-05-13,146
2022-05-14,223
2022-05-15,154
2022-05-16,277
2022-05-17,160
2022-05-18,183
2022-05-19,240
2022-05-20,138
2022-05-21,211
2022-05-22,265
2022-05-23,119
2022-05-24,209
2022-05-25,212
2022-05-26,239
2022-05-27,138
2022-05-28,133
2022-05-29,226
2022-05-30,214
2022-05-31,212
2022-06-01,217
2022-06-02,165
2022-06-03,211
2022-06-04,214
2022-06-05,164
2022-06-06,293
2022-06-07,223
2022-06-08,140
2022-06-09,232
2022-06-10,151
2022-06-11,239
2022-06-12,257
2022-06-13,158
2022-06-14,248
2022-06-15,220
2022-06-16,241
2022-06-17,294
2022-06-18,187
2022-06-19,162
2022-06-20,155
2022-06-21,159
2022-06-22,196
2022-06-23,217
2022-06-24,213
2022-06-25,241
2022-06-26,200
2022-06-27,272
2022-06-28,186
2022-06-29,336
